Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Argentina,T19,"2021-12-17 09:59:00",8480024834270,1,2010008003383
Argentina,T19,"2021-12-17 09:59:00",8480024834270,1,2010008003383
Argentina,T19,"2021-12-17 09:59:00",8480024834270,1,2010008003383
Argentina,T19,"2021-12-17 10:00:00",8480024834270J8480024834270,0,008d774b-1527-467b-8be9-e2a23a6ac097
Argentina,T19,"2021-12-17 10:00:00",8480024834270,1,2010008003383
Labra,T26,"2021-12-17 09:59:00",5449000020864,1,2010006693029
Labra,T26,"2021-12-17 09:59:00",87120158,1,2010006693029
Labra,T26,"2021-12-17 09:59:00",8430807001481,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 09:59:00",5449000020864,1,2010006693029
Labra,T26,"2021-12-17 09:59:00",8410408050361,1,2010006693029
Labra,T26,"2021-12-17 09:59:00",8480000206299,1,2010006693029
Labra,T26,"2021-12-17 10:00:00",87120158,1,2010006693029
Labra,T26,"2021-12-17 10:00:00",8410408050361,1,2010006693029
Labra,T26,"2021-12-17 10:00:00",87120158,1,2010006693029
"Parque Principado",T68,"2021-12-17 10:02:00",8410297012150,1,2010009831190
"Parque Principado",T68,"2021-12-17 10:02:00",8410297012150,1,2010009831190
"Parque Principado",T68,"2021-12-17 10:02:00",8412598000010,1,2010009831190
"Parque Principado",T68,"2021-12-17 10:02:00",8411327122016,1,2010009831190
"Parque Principado",T68,"2021-12-17 10:02:00",8480024760814,1,2010009831190
"Parque Principado",T68,"2021-12-17 10:03:00",8412598004933,1,2010009831190
"Parque Principado",T68,"2021-12-17 10:03:00",8411327122016,1,2010009831190
Labra,T26,"2021-12-17 10:08:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:08:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:08:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:08:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",5449000218865,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8411485050107,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8425561010022,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",5449000000996,1,2010005681140
